:START_ID(Industry),:END_ID(Company),:TYPE
5,002077.SZ,in_industry
5,002133.SZ,in_industry
5,002146.SZ,in_industry
5,002208.SZ,in_industry
5,002244.SZ,in_industry
5,002285.SZ,in_industry
5,002305.SZ,in_industry
2,600000.SH,in_industry
2,600015.SH,in_industry
2,600016.SH,in_industry
2,600030.SH,in_industry
2,600036.SH,in_industry
2,600109.SH,in_industry
2,600291.SH,in_industry
2,600369.SH,in_industry
2,600643.SH,in_industry
2,600705.SH,in_industry
2,600816.SH,in_industry
2,600830.SH,in_industry
2,600837.SH,in_industry
2,600958.SH,in_industry
2,600999.SH,in_industry
2,601009.SH,in_industry
2,601099.SH,in_industry
2,601166.SH,in_industry
2,601169.SH,in_industry
2,601198.SH,in_industry
2,601288.SH,in_industry
2,601318.SH,in_industry
2,601328.SH,in_industry
2,601336.SH,in_industry
2,601377.SH,in_industry
2,601398.SH,in_industry
2,601555.SH,in_industry
2,601601.SH,in_industry
2,601628.SH,in_industry
2,601688.SH,in_industry
2,601788.SH,in_industry
2,601818.SH,in_industry
2,601901.SH,in_industry
2,601939.SH,in_industry
2,601988.SH,in_industry
2,601998.SH,in_industry
2,000001.SZ,in_industry
2,000166.SZ,in_industry
2,000415.SZ,in_industry
2,000562.SZ,in_industry
2,000563.SZ,in_industry
2,000686.SZ,in_industry
2,000712.SZ,in_industry
2,000728.SZ,in_industry
2,000750.SZ,in_industry
2,000776.SZ,in_industry
2,000783.SZ,in_industry
2,002142.SZ,in_industry
2,002500.SZ,in_industry
2,002673.SZ,in_industry
2,002736.SZ,in_industry
1,600054.SH,in_industry
1,600138.SH,in_industry
1,600258.SH,in_industry
1,600358.SH,in_industry
1,600555.SH,in_industry
1,600593.SH,in_industry
1,600640.SH,in_industry
1,600706.SH,in_industry
1,600749.SH,in_industry
1,600754.SH,in_industry
1,601007.SH,in_industry
1,601888.SH,in_industry
1,603099.SH,in_industry
1,603199.SH,in_industry
1,603869.SH,in_industry
1,000007.SZ,in_industry
1,000069.SZ,in_industry
1,000428.SZ,in_industry
1,000430.SZ,in_industry
1,000524.SZ,in_industry
1,000610.SZ,in_industry
1,000613.SZ,in_industry
1,000721.SZ,in_industry
1,000802.SZ,in_industry
1,000888.SZ,in_industry
1,000978.SZ,in_industry
1,002033.SZ,in_industry
1,002059.SZ,in_industry
1,002159.SZ,in_industry
1,002186.SZ,in_industry
1,002306.SZ,in_industry
1,002558.SZ,in_industry
1,002707.SZ,in_industry
1,300144.SZ,in_industry
1,300178.SZ,in_industry
