companyId:ID(Company),name:string,fullname:string,:LABEL
002741.SZ,光华科技,广东光华科技股份有限公司,Company
002748.SZ,世龙实业,江西世龙实业股份有限公司,Company
300002.SZ,神州泰岳,北京神州泰岳软件股份有限公司,Company
300010.SZ,豆神教育,豆神教育科技(北京)股份有限公司,Company
300017.SZ,网宿科技,网宿科技股份有限公司,Company
300019.SZ,硅宝科技,成都硅宝科技股份有限公司,Company
300020.SZ,银江股份,银江股份有限公司,Company
300025.SZ,华星创业,杭州华星创业通信技术股份有限公司,Company
300031.SZ,宝通科技,无锡宝通科技股份有限公司,Company
300033.SZ,同花顺,浙江核新同花顺网络信息股份有限公司,Company
300034.SZ,钢研高纳,北京钢研高纳科技股份有限公司,Company
300036.SZ,超图软件,北京超图软件股份有限公司,Company
300037.SZ,新宙邦,深圳新宙邦科技股份有限公司,Company
300038.SZ,数知科技,北京数知科技股份有限公司,Company
300041.SZ,回天新材,湖北回天新材料股份有限公司,Company
300042.SZ,朗科科技,深圳市朗科科技股份有限公司,Company
300044.SZ,赛为智能,深圳市赛为智能股份有限公司,Company
300045.SZ,华力创通,北京华力创通科技股份有限公司,Company
300047.SZ,天源迪科,深圳天源迪科信息技术股份有限公司,Company
300050.SZ,世纪鼎利,珠海世纪鼎利科技股份有限公司,Company
300051.SZ,三五互联,厦门三五互联科技股份有限公司,Company
300052.SZ,中青宝,深圳中青宝互动网络股份有限公司,Company
300054.SZ,鼎龙股份,湖北鼎龙控股股份有限公司,Company
300059.SZ,东方财富,东方财富信息股份有限公司,Company
300063.SZ,天龙集团,广东天龙油墨集团股份有限公司,Company
300065.SZ,海兰信,北京海兰信数据科技股份有限公司,Company
300067.SZ,安诺其,上海安诺其集团股份有限公司,Company
300072.SZ,三聚环保,北京三聚环保新材料股份有限公司,Company
300074.SZ,华平股份,华平信息技术股份有限公司,Company
300075.SZ,数字政通,北京数字政通科技股份有限公司,Company
300076.SZ,GQY视讯,宁波GQY视讯股份有限公司,Company
300079.SZ,数码科技,北京数码视讯科技股份有限公司,Company
300081.SZ,恒信东方,恒信东方文化股份有限公司,Company
300082.SZ,奥克股份,辽宁奥克化学股份有限公司,Company
300085.SZ,银之杰,深圳市银之杰科技股份有限公司,Company
300096.SZ,易联众,易联众信息技术股份有限公司,Company
300098.SZ,高新兴,高新兴科技集团股份有限公司,Company
300101.SZ,振芯科技,成都振芯科技股份有限公司,Company
300107.SZ,建新股份,河北建新化工股份有限公司,Company
300108.SZ,吉药控股,吉药控股集团股份有限公司,Company
300109.SZ,新开源,博爱新开源医疗科技集团股份有限公司,Company
300113.SZ,顺网科技,杭州顺网科技股份有限公司,Company
300121.SZ,阳谷华泰,山东阳谷华泰化工股份有限公司,Company
300130.SZ,新国都,深圳市新国都股份有限公司,Company
300132.SZ,青松股份,福建青松股份有限公司,Company
300134.SZ,大富科技,大富科技(安徽)股份有限公司,Company
300135.SZ,宝利国际,江苏宝利国际投资股份有限公司,Company
300136.SZ,信维通信,深圳市信维通信股份有限公司,Company
300144.SZ,宋城演艺,宋城演艺发展股份有限公司,Company
300150.SZ,世纪瑞尔,北京世纪瑞尔技术股份有限公司,Company
300166.SZ,东方国信,北京东方国信科技股份有限公司,Company
300167.SZ,迪威迅,深圳市迪威迅股份有限公司,Company
300168.SZ,万达信息,万达信息股份有限公司,Company
300170.SZ,汉得信息,上海汉得信息技术股份有限公司,Company
300174.SZ,元力股份,福建元力活性炭股份有限公司,Company
300177.SZ,中海达,广州中海达卫星导航技术股份有限公司,Company
300178.SZ,腾邦国际,腾邦国际商业服务集团股份有限公司,Company
300182.SZ,捷成股份,北京捷成世纪科技股份有限公司,Company
300183.SZ,东软载波,青岛东软载波科技股份有限公司,Company
300188.SZ,美亚柏科,厦门市美亚柏科信息股份有限公司,Company
300192.SZ,科斯伍德,苏州科斯伍德油墨股份有限公司,Company
300200.SZ,高盟新材,北京高盟新材料股份有限公司,Company
300209.SZ,天泽信息,天泽信息产业股份有限公司,Company
300211.SZ,亿通科技,江苏亿通高科技股份有限公司,Company
300212.SZ,易华录,北京易华录信息技术股份有限公司,Company
300213.SZ,佳讯飞鸿,北京佳讯飞鸿电气股份有限公司,Company
300214.SZ,日科化学,山东日科化学股份有限公司,Company
300225.SZ,金力泰,上海金力泰化工股份有限公司,Company
300226.SZ,上海钢联,上海钢联电子商务股份有限公司,Company
300229.SZ,拓尔思,拓尔思信息技术股份有限公司,Company
300231.SZ,银信科技,北京银信长远科技股份有限公司,Company
300235.SZ,方直科技,深圳市方直科技股份有限公司,Company
300236.SZ,上海新阳,上海新阳半导体材料股份有限公司,Company
300237.SZ,美晨生态,山东美晨生态环境股份有限公司,Company
300243.SZ,瑞丰高材,山东瑞丰高分子材料股份有限公司,Company
300245.SZ,天玑科技,上海天玑科技股份有限公司,Company
300248.SZ,新开普,新开普电子股份有限公司,Company
300250.SZ,初灵信息,杭州初灵信息技术股份有限公司,Company
300253.SZ,卫宁健康,卫宁健康科技集团股份有限公司,Company
300264.SZ,佳创视讯,深圳市佳创视讯技术股份有限公司,Company
300270.SZ,中威电子,杭州中威电子股份有限公司,Company
300271.SZ,华宇软件,北京华宇软件股份有限公司,Company
300275.SZ,梅安森,重庆梅安森科技股份有限公司,Company
300277.SZ,海联讯,深圳海联讯科技股份有限公司,Company
300282.SZ,三盛教育,三盛智慧教育科技股份有限公司,Company
300285.SZ,国瓷材料,山东国瓷功能材料股份有限公司,Company
300287.SZ,飞利信,北京飞利信科技股份有限公司,Company
300288.SZ,朗玛信息,贵阳朗玛信息技术股份有限公司,Company
300290.SZ,荣科科技,荣科科技股份有限公司,Company
