name,holderId:ID(Holder),:LABEL
黄山永佳投资,515,Holder
奥瑞金科技,516,Holder
美佳粉末涂料,517,Holder
永邦中国投资,518,Holder
华泰证券,519,Holder
大永真空科技,520,Holder
北京奥瑞金包装容器,521,Holder
黄敏慧,522,Holder
伍腾,523,Holder
南京理工大学,524,Holder
瓮福,525,Holder
广东恒健资本管理,526,Holder
国元证券约定购回专用账户,527,Holder
贵州乌江能源投资,528,Holder
山东银光化工,529,Holder
贵州盘江化工,530,Holder
保利久联控股,531,Holder
毛家忠,532,Holder
云南能源投资,533,Holder
张丽萍,534,Holder
新疆立兴股权投资管理,535,Holder
云南工业投资控股,536,Holder
黄德刚,537,Holder
云天化,538,Holder
云南能投新能源投资开发,539,Holder
陈秋有,540,Holder
黄冠雄,541,Holder
佛山顺德区昌连荣投资,542,Holder
何国英,543,Holder
佛山顺德区瑞奇投资,544,Holder
法国兴业银行,545,Holder
陈细,546,Holder
李建宏,547,Holder
江山经济建设发展,548,Holder
五矿资本控股,549,Holder
绍兴城建设投资,550,Holder
宁波汇众壹号股权投资合伙企业,551,Holder
宁波汇众贰号股权投资合伙企业,552,Holder
浙江国有资本运营,553,Holder
中航国际成套设备,554,Holder
浙江中医药健康产业,555,Holder
浙江海港资产管理,556,Holder
浙江交通投资,557,Holder
北方国际信托,558,Holder
泰康人寿保险,559,Holder
国海证券,560,Holder
景德镇井冈山北汽创新发展投资中心,561,Holder
景德镇黑猫,562,Holder
新疆中泰,563,Holder
杭州惠丰化纤,564,Holder
新疆中泰国际供应链管理,565,Holder
乌鲁木齐国有资产经营,566,Holder
广州玄元投资管理,567,Holder
乌鲁木齐环鹏,568,Holder
鸿达兴业,569,Holder
浙江富丽达,570,Holder
金鹰基金,571,Holder
张立海,572,Holder
蓝色经济区产业投资基金,573,Holder
杭州悠飞品牌管理合伙企业,574,Holder
蔡燕芬,575,Holder
华夏基金,576,Holder
人人乐连锁商业,577,Holder
佳和美资产管理,578,Holder
珠海新能联合投资合伙企业,579,Holder
青岛金王国际运输,580,Holder
董运妙,581,Holder
孟凡勇,582,Holder
王小英,583,Holder
李洁,584,Holder
中信证券,585,Holder
王婷,586,Holder
乌鲁木齐益丰年股权投资管理合伙企业,587,Holder
湖南神斧投资管理,588,Holder
湖南南岭化工,589,Holder
湖北凯龙化工,590,Holder
张德娟,591,Holder
张尚辉,592,Holder
孔国兴,593,Holder
李晨,594,Holder
陕西鼓风机,595,Holder
陕西兴化,596,Holder
陕西延长石油,597,Holder
蒋如宁,598,Holder
湘潭电化,599,Holder
湘潭振湘国有资产经营投资,600,Holder
宁波梅山保税港区兴韬投资管理,601,Holder
上海智越投资中心,602,Holder
深圳瀚信资产管理,603,Holder
邱小贞,604,Holder
中国银行,605,Holder
深圳向阳资本管理,606,Holder
杨利民,607,Holder
陈武峰,608,Holder
王玉年,609,Holder
黄荣,610,Holder
银川经济技术开发区投资控股,611,Holder
钱翠屏,612,Holder
铜陵天源股权投资,613,Holder
铜陵化学工业,614,Holder
李建锋,615,Holder
王泽龙,616,Holder
中核华原钛白,617,Holder
信达证券,618,Holder
李刚,619,Holder
珠海汇尚创业投资,620,Holder
红宝丽,621,Holder
江苏宝源投资管理,622,Holder
南京高淳国有资产经营控股,623,Holder
陆卫东,624,Holder
柳毅,625,Holder
芮敬功,626,Holder
钟振鑫,627,Holder
北京金证汇通投资中心,628,Holder
周峰,629,Holder
柯荣卿,630,Holder
李京,631,Holder
新天科技,632,Holder
