:END_ID(Company),annDate:date,holderFullname:string,holdRatio:double,:START_ID(Company),:TYPE
000547.SZ,2020-10-26,中国建设银行股份有限公司-易方达国防军工混合型证券投资基金,1.33,601939.SH,hold_stock
000547.SZ,2020-10-26,中国建设银行股份有限公司-鹏华中证国防指数分级证券投资基金,1.21,601939.SH,hold_stock
000561.SZ,2020-10-29,交通银行股份有限公司-长信量化先锋混合型证券投资基金,0.28,601328.SH,hold_stock
000561.SZ,2020-10-29,中国工商银行股份有限公司-广发中证军工交易型开放式指数证券投资基金,0.28,601398.SH,hold_stock
000561.SZ,2020-10-29,中国建设银行股份有限公司-富国中证军工龙头交易型开放式指数证券投资基金,0.46,601939.SH,hold_stock
000561.SZ,2020-10-29,中国建设银行股份有限公司-国泰中证军工交易型开放式指数证券投资基金,0.65,601939.SH,hold_stock
000561.SZ,2020-10-29,中国建设银行股份有限公司-富国中证军工指数分级证券投资基金,0.65,601939.SH,hold_stock
000801.SZ,2020-10-31,四川九洲电器集团有限责任公司,47.61,000801.SZ,hold_stock
000851.SZ,2020-10-30,中国银行股份有限公司-华夏中证5G通信主题交易型开放式指数证券投资基金,1.78,601988.SH,hold_stock
000938.SZ,2020-10-30,紫光股份有限公司-首期2号员工持股计划,3.2,000938.SZ,hold_stock
000938.SZ,2020-10-30,中国银行股份有限公司-华夏中证5G通信主题交易型开放式指数证券投资基金,0.91,601988.SH,hold_stock
000938.SZ,2020-10-30,紫光股份有限公司-首期1号员工持股计划,0.81,000938.SZ,hold_stock
000948.SZ,2020-10-23,云南南天电子信息产业股份有限公司-第一期员工持股计划,2.16,000948.SZ,hold_stock
000970.SZ,2020-10-27,中国建设银行股份有限公司-富国中证新能源汽车指数分级证券投资基金,0.89,601939.SH,hold_stock
000970.SZ,2020-10-27,中国银行股份有限公司-华夏中证新能源汽车交易型开放式指数证券投资基金,1.22,601988.SH,hold_stock
000977.SZ,2020-10-31,招商银行股份有限公司-华夏成长精选6个月定期开放混合型发起式证券投资基金,0.21,600036.SH,hold_stock
000977.SZ,2020-10-31,中国工商银行股份有限公司-易方达中证人工智能主题交易型开放式指数证券投资基金,0.24,601398.SH,hold_stock
000977.SZ,2020-10-31,中国工商银行股份有限公司-华宝中证科技龙头交易型开放式指数证券投资基金,0.27,601398.SH,hold_stock
000977.SZ,2020-10-31,招商银行股份有限公司-鹏华价值成长混合型证券投资基金,0.31,600036.SH,hold_stock
000997.SZ,2020-10-29,中国人寿保险(集团)公司-传统-普通保险产品,0.45,601628.SH,hold_stock
000997.SZ,2020-10-29,东兴证券-民生银行-东兴信鑫3号集合资产管理计划,0.68,601198.SH,hold_stock
002017.SZ,2020-10-24,中国银行股份有限公司-国泰CES半导体芯片行业交易型开放式指数证券投资基金,1.19,601988.SH,hold_stock
002027.SZ,2020-10-23,中国工商银行股份有限公司-富国创新科技混合型证券投资基金,0.82,601398.SH,hold_stock
002027.SZ,2020-10-23,招商银行股份有限公司-鹏华新兴产业混合型证券投资基金,0.89,600036.SH,hold_stock
002065.SZ,2020-10-28,东华软件股份公司-第一期员工持股计划,0.85,002065.SZ,hold_stock
002073.SZ,2020-10-29,软控股份有限公司-第一期员工持股计划,2.93,002073.SZ,hold_stock
002089.SZ,2020-10-29,陕西省国际信托股份有限公司-陕国投·祥瑞5号结构化证券投资集合资金信托计划,0.58,000563.SZ,hold_stock
