ts_code:ID(Company),name:string,area:string,industry:string,fullname:string,list_date:date,:LABEL
002390.SZ,信邦制药,贵州,中成药,贵州信邦制药股份有限公司,2010-04-16,Company
002391.SZ,长青股份,江苏,农药化肥,江苏长青农化股份有限公司,2010-04-16,Company
002392.SZ,北京利尔,北京,其他建材,北京利尔高温材料股份有限公司,2010-04-23,Company
002393.SZ,力生制药,天津,化学制药,天津力生制药股份有限公司,2010-04-23,Company
002394.SZ,联发股份,江苏,纺织,江苏联发纺织股份有限公司,2010-04-23,Company
002395.SZ,双象股份,江苏,塑料,无锡双象超纤材料股份有限公司,2010-04-29,Company
002396.SZ,星网锐捷,福建,通信设备,福建星网锐捷通讯股份有限公司,2010-06-23,Company
002397.SZ,梦洁股份,湖南,纺织,湖南梦洁家纺股份有限公司,2010-04-29,Company
002398.SZ,垒知集团,福建,其他建材,垒知控股集团股份有限公司,2010-05-06,Company
002399.SZ,海普瑞,深圳,化学制药,深圳市海普瑞药业集团股份有限公司,2010-05-06,Company
002400.SZ,省广集团,广东,广告包装,广东省广告集团股份有限公司,2010-05-06,Company
002401.SZ,中远海科,上海,软件服务,中远海运科技股份有限公司,2010-05-06,Company
002402.SZ,和而泰,深圳,元器件,深圳和而泰智能控制股份有限公司,2010-05-11,Company
002403.SZ,爱仕达,浙江,家用电器,爱仕达股份有限公司,2010-05-11,Company
002404.SZ,嘉欣丝绸,浙江,纺织,浙江嘉欣丝绸股份有限公司,2010-05-11,Company
002405.SZ,四维图新,北京,软件服务,北京四维图新科技股份有限公司,2010-05-18,Company
002406.SZ,远东传动,河南,汽车配件,许昌远东传动轴股份有限公司,2010-05-18,Company
002407.SZ,多氟多,河南,化工原料,多氟多化工股份有限公司,2010-05-18,Company
002408.SZ,齐翔腾达,山东,化工原料,淄博齐翔腾达化工股份有限公司,2010-05-18,Company
002409.SZ,雅克科技,江苏,化工原料,江苏雅克科技股份有限公司,2010-05-25,Company
002410.SZ,广联达,北京,软件服务,广联达科技股份有限公司,2010-05-25,Company
002411.SZ,延安必康,陕西,化学制药,延安必康制药股份有限公司,2010-05-25,Company
002412.SZ,汉森制药,湖南,中成药,湖南汉森制药股份有限公司,2010-05-25,Company
002413.SZ,雷科防务,江苏,通信设备,江苏雷科防务科技股份有限公司,2010-05-28,Company
002414.SZ,高德红外,湖北,电器仪表,武汉高德红外股份有限公司,2010-07-16,Company
002415.SZ,海康威视,浙江,电器仪表,杭州海康威视数字技术股份有限公司,2010-05-28,Company
002416.SZ,爱施德,深圳,电器连锁,深圳市爱施德股份有限公司,2010-05-28,Company
002417.SZ,深南股份,江苏,软件服务,深南金科股份有限公司,2010-06-01,Company
002418.SZ,*ST康盛,浙江,机械基件,浙江康盛股份有限公司,2010-06-01,Company
002419.SZ,天虹股份,深圳,百货,天虹商场股份有限公司,2010-06-01,Company
002420.SZ,*ST毅昌,广东,塑料,广州毅昌科技股份有限公司,2010-06-01,Company
002421.SZ,达实智能,深圳,软件服务,深圳达实智能股份有限公司,2010-06-03,Company
002422.SZ,科伦药业,四川,化学制药,四川科伦药业股份有限公司,2010-06-03,Company
002423.SZ,中粮资本,河南,多元金融,中粮资本控股股份有限公司,2010-06-03,Company
002424.SZ,贵州百灵,贵州,中成药,贵州百灵企业集团制药股份有限公司,2010-06-03,Company
002425.SZ,凯撒文化,广东,互联网,凯撒(中国)文化股份有限公司,2010-06-08,Company
002426.SZ,*ST胜利,江苏,元器件,苏州胜利精密制造科技股份有限公司,2010-06-08,Company
002427.SZ,*ST尤夫,浙江,化纤,浙江尤夫高新纤维股份有限公司,2010-06-08,Company
